epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2823.77,0.95088,0.91687,1.26239,0.90718,0.8633,0.94157,0.77104,0.79586,0.59504,1.12135,0.000555833,0.000555833,0.000555833
58,2872.97,0.94455,0.91474,1.26225,0.86603,0.85924,0.92862,0.77494,0.7477,0.63195,1.09752,0.000552027,0.000552027,0.000552027
59,2922.01,0.95214,0.93207,1.26823,0.87936,0.8517,0.93246,0.77345,0.7744,0.63727,1.11784,0.00054822,0.00054822,0.00054822
60,2971.43,0.94868,0.89579,1.25525,0.88966,0.84437,0.92707,0.76628,0.77882,0.64932,1.12472,0.000544414,0.000544414,0.000544414
61,3020.57,0.94124,0.9072,1.25794,0.90834,0.85589,0.94049,0.78205,0.75101,0.59407,1.10035,0.000540607,0.000540607,0.000540607
62,3070.12,0.95447,0.8996,1.25071,0.88417,0.88443,0.94222,0.76195,0.8518,0.6067,1.14311,0.0005368,0.0005368,0.0005368
63,3119.34,0.9414,0.90303,1.25319,0.87864,0.86955,0.94192,0.78768,0.74371,0.59388,1.08994,0.000532994,0.000532994,0.000532994
64,3168.74,0.95869,0.90141,1.26024,0.86915,0.90331,0.9456,0.78346,0.7692,0.59817,1.10071,0.000529187,0.000529187,0.000529187
65,3218.03,0.93932,0.891,1.25098,0.90873,0.86199,0.9388,0.7831,0.77216,0.5963,1.12097,0.000525381,0.000525381,0.000525381
66,3267.33,0.93773,0.89781,1.25146,0.89413,0.86864,0.9428,0.79289,0.72521,0.5779,1.08961,0.000521574,0.000521574,0.000521574
67,3316.83,0.93111,0.8852,1.24881,0.8982,0.86541,0.93931,0.80055,0.69851,0.59393,1.08078,0.000517768,0.000517768,0.000517768
68,3366.15,0.93631,0.91798,1.25623,0.89206,0.88012,0.94724,0.79248,0.76271,0.5617,1.09374,0.000513961,0.000513961,0.000513961
69,3415.69,0.92337,0.87883,1.24085,0.88295,0.8749,0.93606,0.78499,0.72985,0.58336,1.07931,0.000510155,0.000510155,0.000510155
70,3464.92,0.92762,0.86857,1.24037,0.90012,0.87178,0.94318,0.77733,0.79247,0.58052,1.10417,0.000506348,0.000506348,0.000506348
71,3514.25,0.92585,0.87651,1.24367,0.9094,0.84482,0.93379,0.78352,0.73612,0.61027,1.09864,0.000502541,0.000502541,0.000502541
72,3563.22,0.92534,0.85886,1.24133,0.89648,0.8699,0.9398,0.78592,0.74998,0.58159,1.0879,0.000498735,0.000498735,0.000498735
73,3612.02,0.9211,0.86536,1.24019,0.90652,0.87599,0.94765,0.80484,0.7099,0.5581,1.0704,0.000494928,0.000494928,0.000494928
74,3660.83,0.92492,0.87075,1.24409,0.90087,0.86235,0.94339,0.77767,0.80404,0.60287,1.10793,0.000491122,0.000491122,0.000491122
75,3709.81,0.94371,0.88411,1.25015,0.88444,0.88814,0.94574,0.80342,0.70194,0.58755,1.06292,0.000487315,0.000487315,0.000487315
76,3758.79,0.92244,0.85997,1.23218,0.89591,0.8792,0.94759,0.78239,0.77719,0.57559,1.10103,0.000483509,0.000483509,0.000483509
77,3807.7,0.9146,0.85347,1.23637,0.90159,0.87386,0.94528,0.78837,0.75875,0.5944,1.0961,0.000479702,0.000479702,0.000479702
78,3856.97,0.89912,0.82816,1.22343,0.90659,0.86962,0.94935,0.80196,0.71241,0.54759,1.07066,0.000475896,0.000475896,0.000475896
79,3906.36,0.92313,0.86725,1.24265,0.91472,0.87916,0.94914,0.80957,0.68615,0.56415,1.06112,0.000472089,0.000472089,0.000472089
80,3955.6,0.88415,0.82696,1.22108,0.90948,0.87408,0.94953,0.80284,0.71889,0.54839,1.07833,0.000468283,0.000468283,0.000468283
81,4005.13,0.92245,0.85198,1.23532,0.9102,0.87851,0.95128,0.81145,0.69016,0.53084,1.05732,0.000464476,0.000464476,0.000464476
82,4054.61,0.92512,0.86466,1.23896,0.91614,0.87988,0.9446,0.79322,0.747,0.57103,1.08106,0.000460669,0.000460669,0.000460669
83,4103.59,0.90212,0.83038,1.2226,0.91581,0.87768,0.94799,0.78729,0.77697,0.56458,1.10718,0.000456863,0.000456863,0.000456863
84,4152.66,0.90263,0.82174,1.22537,0.89278,0.88647,0.94631,0.79744,0.73256,0.5517,1.0749,0.000453056,0.000453056,0.000453056
85,4201.6,0.90765,0.84673,1.22857,0.90222,0.88552,0.9489,0.80611,0.69812,0.54595,1.06518,0.00044925,0.00044925,0.00044925
86,4250.61,0.90234,0.81934,1.22177,0.91815,0.8716,0.94902,0.81007,0.69233,0.53666,1.0552,0.000445443,0.000445443,0.000445443
87,4299.56,0.89616,0.81621,1.22198,0.92616,0.87827,0.95492,0.81219,0.70623,0.51966,1.06211,0.000441637,0.000441637,0.000441637
